block,chroms,mean_length,std_length,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,tree_consistent
201,1;2,10705.588235294117,131.74733341359016,0.3627259898,2,22,False
385,1;2,5658.8125,384.4650318001409,0.19219191229999996,2,15,False
382,1;2,6693.15625,0.8699631816921909,0.1526495462,2,13,False
378,1;2,5511.088235294118,0.6583243907529234,0.15157248729999998,2,12,False
289,1;2,5193.928571428572,12.860779908852559,0.14252727269999996,2,13,False
157,1,5834.55,0.5894913061275798,0.14010063879999995,2,14,False
202,1;2,6944.846153846154,448.43314331533156,0.13135335799999998,1,9,False
379,1;2,8442.390625,7.294298260242379,0.12413254200000001,2,14,False
380,1;2,11687.575757575758,232.21489920395905,0.12079266639999998,2,12,False
383,1;2,8028.787878787879,228.79960234863694,0.12079266639999998,2,12,False
381,1;2,6481.393939393939,2.740707649598791,0.12079266639999998,2,12,False
331,1;2,11284.543209876543,8.037027554943108,0.1068730074,1,8,False
332,1;2,11221.283950617284,3.352664567365046,0.1068730074,1,8,False
313,1;2,7231.275862068966,330.1132403983909,0.10365424709999997,2,11,False
15,1;2,5724.958904109589,3.593900297305061,0.0832804156,2,11,False
160,1;2,13454.884615384615,131.40800435843875,0.079920876,1,7,False
327,1;2,63378.93670886076,453.74582584883836,0.0783111989,2,9,False
310,1;2,7246.721518987341,22.152484621546794,0.077937614,2,9,False
111,1,8724.09090909091,2.7783103254429315,0.07733163800000002,1,7,False
278,1;2,19312.51851851852,527.1169221881086,0.07392138,1,7,False
286,1;2,15526.765432098766,522.8996379781237,0.07392138,1,7,False
349,1;2,7445.469135802469,453.60852449204015,0.07392138,1,7,False
352,1;2,44431.08641975309,445.54921573574484,0.07392138,1,7,False
291,1;2,23269.04938271605,347.83751355043967,0.07392138,1,7,False
301,1;2,28806.679012345678,346.88582200795645,0.07392138,1,7,False
252,1;2,42761.97530864197,338.53139524005206,0.07392138,1,7,False
277,1;2,57029.06172839506,311.452881547391,0.07392138,1,7,False
246,1;2,32301.555555555555,243.4754531699167,0.07392138,1,7,False
251,1;2,50987.27160493827,241.29982437437283,0.07392138,1,7,False
281,1;2,27404.012345679013,240.64304253740283,0.07392138,1,7,False
250,1;2,32823.01234567901,235.3646235533788,0.07392138,1,7,False
319,1;2,36394.40740740741,228.53401712254424,0.07392138,1,7,False
322,1;2,81961.82716049382,221.92929527625176,0.07392138,1,7,False
247,1;2,23702.086419753086,219.96476696158817,0.07392138,1,7,False
316,1;2,19145.425,211.71553881328597,0.07392138,1,7,False
312,1;2,13947.987654320988,204.54221658646102,0.07392138,1,7,False
282,1;2,14694.691358024691,193.81922607020198,0.07392138,1,7,False
295,1;2,21056.20987654321,168.5426799483807,0.07392138,1,7,False
244,1;2,16460.975308641977,165.5232612282056,0.07392138,1,7,False
357,1;2,14841.444444444445,156.18752578191558,0.07392138,1,7,False
249,1;2,11886.160493827161,152.13634696840836,0.07392138,1,7,False
359,1;2,14318.024691358025,145.59931278740297,0.07392138,1,7,False
358,1;2,7477.962962962963,145.03370782695885,0.07392138,1,7,False
266,1;2,28107.37037037037,145.0084241439177,0.07392138,1,7,False
253,1;2,23360.41975308642,142.89311072020604,0.07392138,1,7,False
368,1;2,14635.197530864198,138.27271494263456,0.07392138,1,7,False
298,1;2,14782.987654320988,128.22159578386936,0.07392138,1,7,False
239,1;2,38534.725,126.13435049581061,0.07392138,1,7,False
372,1;2,9271.913580246914,124.64549211449959,0.07392138,1,7,False
340,1;2,7479.432098765432,124.40465021196198,0.07392138,1,7,False
303,1;2,7250.0,121.43615911556468,0.07392138,1,7,False
348,1;2,18353.777777777777,112.8791553109063,0.07392138,1,7,False
255,1;2,42792.12345679013,106.38416092958846,0.07392138,1,7,False
346,1;2,26367.30864197531,105.73069002993006,0.07392138,1,7,False
254,1;2,32060.51851851852,102.8711421113166,0.07392138,1,7,False
365,1;2,37456.58024691358,98.07125957942311,0.07392138,1,7,False
366,1;2,28306.185185185186,96.03704417877164,0.07392138,1,7,False
323,1;2,16217.962962962964,95.41701124886114,0.07392138,1,7,False
343,1;2,16714.345679012345,94.28838878200669,0.07392138,1,7,False
371,1;2,23405.0987654321,93.892847377206,0.07392138,1,7,False
351,1;2,7273.7037037037035,89.95533108838438,0.07392138,1,7,False
363,1;2,22542.716049382718,83.70277139944757,0.07392138,1,7,False
306,1;2,20528.60975609756,82.65233623622726,0.07392138,1,7,False
304,1;2,7555.487804878048,78.06942562317631,0.07392138,1,7,False
260,1;2,40895.765432098764,73.73095428566634,0.07392138,1,7,False
356,1;2,9796.703703703704,72.37768642651835,0.07392138,1,7,False
232,1;2,22525.913580246914,72.31569976748372,0.07392138,1,7,False
245,1;2,26658.037037037036,70.84628542924523,0.07392138,1,7,False
309,1;2,22741.135802469136,70.62101129764231,0.07392138,1,7,False
347,1;2,8500.407407407407,70.35040652488608,0.07392138,1,7,False
16,1;2,14986.012195121952,67.64298206030475,0.07392138,1,7,False
265,1;2,6163.753086419753,66.95060476297682,0.07392138,1,7,False
279,1;2,45423.62962962963,66.89358500392726,0.07392138,1,7,False
307,1;2,16203.567901234568,66.64498504311973,0.07392138,1,7,False
360,1;2,13725.641975308641,65.7049725915676,0.07392138,1,7,False
256,1;2,19317.506172839505,63.30099046614371,0.07392138,1,7,False
334,1;2,11243.79012345679,61.04151917299996,0.07392138,1,7,False
342,1;2,12434.703703703704,58.89736719774314,0.07392138,1,7,False
335,1;2,24577.35802469136,53.484117555271084,0.07392138,1,7,False
242,1;2,12794.79012345679,51.812748335792946,0.07392138,1,7,False
308,1;2,14616.407407407407,49.96240012861468,0.07392138,1,7,False
302,1;2,12364.469135802468,49.53589206784174,0.07392138,1,7,False
325,1;2,13060.271604938273,48.9812290439791,0.07392138,1,7,False
264,1;2,6024.79012345679,45.60287949793606,0.07392138,1,7,False
292,1;2,10719.098765432098,45.18947898373604,0.07392138,1,7,False
344,1;2,6335.814814814815,44.98919242265024,0.07392138,1,7,False
370,1;2,15683.543209876543,44.53298108718422,0.07392138,1,7,False
274,1;2,28365.987654320987,44.2589166093801,0.07392138,1,7,False
240,1;2,33358.925,44.16411863719234,0.07392138,1,7,False
243,1;2,12590.925925925925,43.54585429879401,0.07392138,1,7,False
341,1;2,34460.358024691355,43.423640555129865,0.07392138,1,7,False
293,1;2,24320.345679012345,42.392685280360375,0.07392138,1,7,False
273,1;2,11450.987654320988,41.72351494584393,0.07392138,1,7,False
269,1;2,17544.0987654321,39.46888286391224,0.07392138,1,7,False
263,1;2,5592.641975308642,39.340334794929845,0.07392138,1,7,False
261,1;2,32183.975308641977,39.00299934925612,0.07392138,1,7,False
258,1;2,12456.432098765432,38.93138575532281,0.07392138,1,7,False
300,1;2,28960.35802469136,36.388272646851654,0.07392138,1,7,False
364,1;2,13461.098765432098,36.308215897861444,0.07392138,1,7,False
329,1;2,13280.987654320988,36.1063223584302,0.07392138,1,7,False
248,1;2,13261.135802469136,33.787189144437114,0.07392138,1,7,False
315,1;2,11180.05,33.51376582838759,0.07392138,1,7,False
17,1;2,13017.670731707318,33.09448958554911,0.07392138,1,7,False
241,1;2,11752.172839506173,31.683539412682137,0.07392138,1,7,False
338,1;2,30355.938271604937,31.15209430726448,0.07392138,1,7,False
299,1;2,6113.382716049383,29.886025431292566,0.07392138,1,7,False
257,1;2,11762.62962962963,29.88019057422015,0.07392138,1,7,False
362,1;2,5220.728395061728,29.580612747382247,0.07392138,1,7,False
276,1;2,33999.2962962963,29.562423781936854,0.07392138,1,7,False
369,1;2,24459.987654320987,29.21207843677946,0.07392138,1,7,False
328,1;2,5643.9876543209875,27.774441500606805,0.07392138,1,7,False
355,1;2,13268.641975308641,27.30907172657635,0.07392138,1,7,False
311,1;2,6891.049382716049,26.2315902449595,0.07392138,1,7,False
285,1;2,12180.67901234568,26.042143982822726,0.07392138,1,7,False
236,1;2,11747.6875,25.567847851354248,0.07392138,1,7,False
336,1;2,24295.51851851852,24.276245113640584,0.07392138,1,7,False
339,1;2,13170.876543209877,22.616711136204206,0.07392138,1,7,False
234,1;2,12523.2875,21.207424260150027,0.07392138,1,7,False
270,1;2,16552.827160493827,20.840244852627126,0.07392138,1,7,False
367,1;2,10184.382716049382,19.84356592632631,0.07392138,1,7,False
275,1;2,12102.271604938273,19.7452993910312,0.07392138,1,7,False
267,1;2,12927.358024691359,19.68348850064302,0.07392138,1,7,False
296,1;2,15724.358024691359,18.724321439830774,0.07392138,1,7,False
330,1;2,8577.506172839507,18.36066881752723,0.07392138,1,7,False
350,1;2,35672.06172839506,18.24615344479951,0.07392138,1,7,False
271,1;2,8324.641975308641,17.9356246931963,0.07392138,1,7,False
284,1;2,6082.753086419753,17.450127074564744,0.07392138,1,7,False
320,1;2,10742.04938271605,17.038736719653738,0.07392138,1,7,False
233,1;2,10694.525,16.783157480045286,0.07392138,1,7,False
280,1;2,5699.802469135802,14.567357177536916,0.07392138,1,7,False
283,1;2,6958.382716049383,13.00006448344365,0.07392138,1,7,False
290,1;2,7384.481481481482,12.218293420175705,0.07392138,1,7,False
326,1;2,5962.617283950617,12.05498503640772,0.07392138,1,7,False
235,1;2,13810.8625,11.760892557540009,0.07392138,1,7,False
237,1;2,10083.7375,10.81635769332727,0.07392138,1,7,False
353,1;2,6484.753086419753,10.501652855443059,0.07392138,1,7,False
297,1;2,8329.098765432098,9.821373691693616,0.07392138,1,7,False
305,1;2,11653.439024390244,9.557397289567104,0.07392138,1,7,False
314,1;2,11296.325,9.449570096041406,0.07392138,1,7,False
321,1;2,14091.802469135802,8.398147581000066,0.07392138,1,7,False
294,1;2,6620.555555555556,8.253693524121394,0.07392138,1,7,False
337,1;2,8192.827160493827,8.163136233811892,0.07392138,1,7,False
