Genome,Length
BUMA.1121.00049.2,3158067
BUMA.1121.00055.2,3157158
BUMA.1121.00011.2,3249682
BUMA.1121.00110.2,3255964
BUMA.1121.00109.2,3327069
BUMA.1121.00077.2,3257149
BUMA.1121.00027.2,3188795
BUMA.1121.00027.1,4012048
BUMA.1121.00026.2,1858520
BUMA.1121.00021.2,3138916
BUMA.1121.00025.1,4191510
BUMA.1121.00021.1,4047168
BUMA.1121.00023.1,4099156
BUMA.1121.00024.1,3507313
BUMA.1121.00023.2,3245729
BUMA.1121.00022.2,2353251
BUMA.1121.00033.1,4191431
BUMA.1121.00034.1,3573774
BUMA.1121.00034.2,2120552
BUMA.1121.00036.1,3458245
BUMA.1121.00032.1,3506611
BUMA.1121.00025.2,3078971
BUMA.1121.00031.2,3265896
BUMA.1121.00007.2,3236633
BUMA.1121.00009.1,3976360
BUMA.1121.00008.1,3558359
BUMA.1121.00097.2,3245118
BUMA.1121.00008.2,2104758
BUMA.1121.00059.2,3176440
BUMA.1121.00003.1,3915206
BUMA.1121.00002.2,2093516
BUMA.1121.00004.2,2105259
BUMA.1121.00005.2,3254339
BUMA.1121.00109.1,3969298
BUMA.1121.00053.1,4075626
BUMA.1121.00110.1,4008750
BUMA.1121.00104.1,3925545
BUMA.1121.00111.2,3212183
BUMA.1121.00006.2,2325357
BUMA.1121.00086.1,3495687
BUMA.1121.00092.1,4092668
BUMA.1121.00096.1,4029411
BUMA.1121.00054.1,3539355
BUMA.1121.00097.1,4067975
BUMA.1121.00093.1,4092176
BUMA.1121.00009.2,3272138
BUMA.1121.00106.1,3983995
BUMA.1121.00094.2,3153284
BUMA.1121.00101.2,3248948
BUMA.1121.00066.2,3103695
BUMA.1121.00010.1,3533279
BUMA.1121.00095.2,3340053
BUMA.1121.00035.1,4121829
BUMA.1121.00112.2,3267160
BUMA.1121.00042.2,2146721
BUMA.1121.00108.1,4031107
BUMA.1121.00028.1,3578521
BUMA.1121.00094.1,4001777
BUMA.1121.00032.2,1726745
BUMA.1121.00102.1,4185307
BUMA.1121.00090.2,3260214
BUMA.1121.00020.2,2106729
BUMA.1121.00111.1,4032598
BUMA.1121.00089.2,3100794
BUMA.1121.00089.1,3988455
BUMA.1121.00051.2,3115305
BUMA.1121.00084.1,4126292
BUMA.1121.00029.1,4062495
BUMA.1121.00001.2,3190202
BUMA.1121.00012.1,4195070
BUMA.1121.00087.1,3476186
BUMA.1121.00045.2,3258775
BUMA.1121.00043.2,3269674
BUMA.1121.00043.1,4177999
BUMA.1121.00046.1,3509022
BUMA.1121.00037.1,4027521
BUMA.1121.00080.1,4013273
BUMA.1121.00079.1,4066496
BUMA.1121.00045.1,4019555
BUMA.1121.00063.2,3113526
BUMA.1121.00071.1,3855598
BUMA.1121.00056.1,3984211
BUMA.1121.00079.2,3112891
BUMA.1121.00071.2,3119419
BUMA.1121.00086.2,2352673
BUMA.1121.00024.2,2240444
BUMA.1121.00010.2,2096906
BUMA.1121.00040.2,2226169
BUMA.1121.00093.2,3145430
BUMA.1121.00065.1,4038504
BUMA.1121.00058.1,4058378
BUMA.1121.00007.1,4054214
BUMA.1121.00091.2,3244818
BUMA.1121.00107.2,3227179
BUMA.1121.00067.1,4028032
BUMA.1121.00090.1,4121652
BUMA.1121.00088.2,3184745
BUMA.1121.00047.2,3130285
BUMA.1121.00051.1,3987008
BUMA.1121.00020.1,3625803
BUMA.1121.00019.2,2185884
BUMA.1121.00103.1,4059501
BUMA.1121.00087.2,2351354
BUMA.1121.00039.2,3144330
BUMA.1121.00048.1,3510187
BUMA.1121.00047.1,4091933
BUMA.1121.00042.1,3500987
BUMA.1121.00055.1,4098323
BUMA.1121.00031.1,4077668
BUMA.1121.00040.1,3553991
BUMA.1121.00030.2,2120306
BUMA.1121.00044.1,3517959
BUMA.1121.00016.2,3263222
BUMA.1121.00088.1,4140527
BUMA.1121.00069.1,3850633
BUMA.1121.00092.2,3138747
BUMA.1121.00085.2,1734922
BUMA.1121.00064.1,4006427
BUMA.1121.00046.2,2152790
BUMA.1121.00003.2,3127446
BUMA.1121.00105.1,4017692
BUMA.1121.00054.2,2325228
BUMA.1121.00015.1,3542895
BUMA.1121.00015.2,2237484
BUMA.1121.00105.2,3200711
BUMA.1121.00059.1,4003948
BUMA.1121.00052.2,1734864
BUMA.1121.00026.1,3550588
BUMA.1121.00053.2,3217986
BUMA.1121.00022.1,3559874
BUMA.1121.00057.2,3139014
BUMA.1121.00052.1,3497616
BUMA.1121.00108.2,3194326
BUMA.1121.00101.1,3955091
BUMA.1121.00001.1,4090941
BUMA.1121.00050.2,2321527
BUMA.1121.00038.1,3509987
BUMA.1121.00104.2,3146548
BUMA.1121.00014.2,3273436
BUMA.1121.00036.2,2284094
BUMA.1121.00038.2,2226558
BUMA.1121.00068.1,4112169
BUMA.1121.00098.2,3205965
BUMA.1121.00078.2,3303850
BUMA.1121.00099.1,4088898
BUMA.1121.00029.2,3267789
BUMA.1121.00091.1,4021786
BUMA.1121.00099.2,3267421
BUMA.1121.00098.1,4240564
BUMA.1121.00103.2,3390988
BUMA.1121.00013.1,3560387
BUMA.1121.00049.1,4032972
BUMA.1121.00102.2,3190204
BUMA.1121.00028.2,2146701
BUMA.1121.00072.1,3847660
BUMA.1121.00076.1,3933277
BUMA.1121.00075.2,3147867
BUMA.1121.00044.2,2120266
BUMA.1121.00076.2,3208521
BUMA.1121.00074.2,3363129
BUMA.1121.00073.2,3120072
BUMA.1121.00083.2,3173067
BUMA.1121.00035.2,3306537
BUMA.1121.00072.2,3097834
BUMA.1121.00083.1,4074547
BUMA.1121.00056.2,3102103
BUMA.1121.00078.1,4166370
BUMA.1121.00081.2,2325358
BUMA.1121.00095.1,3997043
BUMA.1121.00077.1,4009467
BUMA.1121.00063.1,3852886
BUMA.1121.00061.1,3859639
BUMA.1121.00033.2,3245064
BUMA.1121.00061.2,3102688
BUMA.1121.00050.1,3553303
BUMA.1121.00081.1,3510148
BUMA.1121.00074.1,3800385
BUMA.1121.00062.1,3976798
BUMA.1121.00062.2,3225565
BUMA.1121.00064.2,3039355
BUMA.1121.00060.2,3008316
BUMA.1121.00060.1,4019503
BUMA.1121.00070.1,3842045
BUMA.1121.00069.2,3069583
BUMA.1121.00075.1,3932431
BUMA.1121.00070.2,3099454
BUMA.1121.00041.1,4135206
BUMA.1121.00068.2,3147757
BUMA.1121.00073.1,3866281
BUMA.1121.00017.1,3471439
BUMA.1121.00067.2,3156596
BUMA.1121.00066.1,3854943
BUMA.1121.00037.2,3207929
BUMA.1121.00065.2,3228004
BUMA.1121.00058.2,3214293
BUMA.1121.00107.1,4110442
BUMA.1121.00085.1,3497434
BUMA.1121.00030.1,3471518
BUMA.1121.00041.2,3248554
BUMA.1121.00084.2,3181762
BUMA.1121.00096.2,3361895
BUMA.1121.00112.1,4228716
BUMA.1121.00080.2,3173851
BUMA.1121.00002.1,3531732
BUMA.1121.00082.1,4074542
BUMA.1121.00014.1,4224888
BUMA.1121.00013.2,2125937
BUMA.1121.00100.2,3108026
BUMA.1121.00012.2,3286818
BUMA.1121.00011.1,4067698
BUMA.1121.00019.1,3512311
BUMA.1121.00057.1,4007524
BUMA.1121.00018.2,3084746
BUMA.1121.00018.1,4149734
BUMA.1121.00048.2,2325354
BUMA.1121.00039.1,4046807
BUMA.1121.00016.1,4056414
BUMA.1121.00106.2,3194042
BUMA.1121.00017.2,2120545
BUMA.1121.00004.1,3623658
BUMA.1121.00082.2,3173005
BUMA.1121.00005.1,4059297
BUMA.1121.00100.1,4021787
BUMA.1121.00006.1,3510064
