block,genome,chr/contig,start,end,orientation,length
758,BUMA.1121.00112,1,348576,354775,+,6199
758,BUMA.1121.00014,1,166988,173158,+,6170
757,BUMA.1121.00112,1,336102,345004,+,8902
757,BUMA.1121.00014,1,152698,161606,+,8908
756,BUMA.1121.00112,1,321863,326094,+,4231
756,BUMA.1121.00014,1,134876,139086,+,4210
755,BUMA.1121.00112,1,312914,321604,+,8690
755,BUMA.1121.00014,1,125956,134617,+,8661
754,BUMA.1121.00112,1,298158,306626,+,8468
754,BUMA.1121.00014,1,111465,119925,+,8460
753,BUMA.1121.00067,2,1686487,1689503,+,3016
753,BUMA.1121.00080,2,2295648,2298663,-,3015
752,BUMA.1121.00083,1,2672246,2675273,+,3027
752,BUMA.1121.00082,1,3104086,3107113,-,3027
751,BUMA.1121.00083,1,1902095,1905720,+,3625
751,BUMA.1121.00082,1,3873650,3877275,-,3625
750,BUMA.1121.00083,1,1065240,1102343,+,37103
750,BUMA.1121.00082,1,602484,639587,-,37103
749,BUMA.1121.00083,1,832517,845929,+,13412
749,BUMA.1121.00082,1,858891,872302,-,13411
748,BUMA.1121.00091,1,1401467,1409651,+,8184
748,BUMA.1121.00095,1,2599894,2608073,+,8179
748,BUMA.1121.00041,1,338484,346668,-,8184
748,BUMA.1121.00005,1,1819319,1827503,-,8184
747,BUMA.1121.00091,1,1396013,1401465,+,5452
747,BUMA.1121.00095,1,2592985,2598439,+,5454
747,BUMA.1121.00041,1,346669,352121,-,5452
747,BUMA.1121.00005,1,1827504,1832956,-,5452
746,BUMA.1121.00091,1,1386799,1391925,+,5126
746,BUMA.1121.00095,1,2583782,2588898,+,5116
746,BUMA.1121.00041,1,356208,361335,-,5127
746,BUMA.1121.00005,1,1837043,1842170,-,5127
745,BUMA.1121.00099,1,844707,880986,+,36279
745,BUMA.1121.00098,1,2293538,2329805,+,36267
745,BUMA.1121.00005,1,181304,218161,-,36857
744,BUMA.1121.00098,2,727717,731721,+,4004
744,BUMA.1121.00100,2,1633585,1637589,+,4004
743,BUMA.1121.00068,1,2910993,2914757,+,3764
743,BUMA.1121.00041,2,1417685,1421460,+,3775
742,BUMA.1121.00068,1,1344464,1351029,+,6565
742,BUMA.1121.00107,1,2497865,2504441,+,6576
741,BUMA.1121.00101,1,2673220,2677455,+,4235
741,BUMA.1121.00068,1,2612701,2616936,-,4235
740,BUMA.1121.00101,1,2590846,2594073,+,3227
740,BUMA.1121.00068,1,2711072,2714323,-,3251
740,BUMA.1121.00098,1,2562876,2566115,-,3239
740,BUMA.1121.00103,2,3359943,3363206,-,3263
740,BUMA.1121.00083,1,1805300,1808551,+,3251
740,BUMA.1121.00070,1,3739127,3742378,-,3251
740,BUMA.1121.00066,1,3751898,3755149,-,3251
740,BUMA.1121.00082,1,3970819,3974070,-,3251
739,BUMA.1121.00101,1,1695113,1701982,+,6869
739,BUMA.1121.00107,1,628484,635355,-,6871
738,BUMA.1121.00108,2,2612454,2621247,+,8793
738,BUMA.1121.00078,2,766158,774951,-,8793
738,BUMA.1121.00075,2,469908,478701,-,8793
738,BUMA.1121.00076,2,118767,127560,+,8793
738,BUMA.1121.00068,2,954661,963454,+,8793
738,BUMA.1121.00100,2,394331,403124,+,8793
738,BUMA.1121.00012,2,2563853,2572636,-,8783
737,BUMA.1121.00108,2,2604001,2612452,+,8451
737,BUMA.1121.00012,2,2572637,2581090,-,8453
736,BUMA.1121.00105,1,643974,649941,+,5967
736,BUMA.1121.00112,1,2514168,2520123,+,5955
735,BUMA.1121.00016,2,2846838,2849861,+,3023
735,BUMA.1121.00035,2,441426,445502,+,4076
734,BUMA.1121.00031,1,1942478,1951302,+,8824
734,BUMA.1121.00014,1,2268808,2277632,-,8824
733,BUMA.1121.00031,1,1932477,1939849,+,7372
733,BUMA.1121.00014,1,2278990,2286362,-,7372
732,BUMA.1121.00031,1,1921406,1928373,+,6967
732,BUMA.1121.00014,1,2290466,2297585,-,7119
731,BUMA.1121.00031,1,1908934,1920240,+,11306
731,BUMA.1121.00014,1,2298750,2308571,-,9821
730,BUMA.1121.00055,1,2019344,2022513,+,3169
730,BUMA.1121.00112,1,1627167,1630632,+,3465
730,BUMA.1121.00057,1,3498543,3501725,+,3182
729,BUMA.1121.00055,1,792281,796143,+,3862
729,BUMA.1121.00041,1,2509405,2513269,+,3864
728,BUMA.1121.00047,1,1837502,1843623,+,6121
728,BUMA.1121.00088,1,2016062,2022183,-,6121
727,BUMA.1121.00103,1,3201623,3205172,+,3549
727,BUMA.1121.00011,1,381196,384745,+,3549
726,BUMA.1121.00103,1,728954,733124,+,4170
726,BUMA.1121.00091,1,874020,878191,+,4171
725,BUMA.1121.00103,1,718819,728953,+,10134
725,BUMA.1121.00091,1,863885,874019,+,10134
725,BUMA.1121.00107,1,3589364,3599507,-,10143
724,BUMA.1121.00067,1,3835506,3841840,+,6334
724,BUMA.1121.00074,1,3311792,3318126,+,6334
723,BUMA.1121.00067,1,3819479,3834338,+,14859
723,BUMA.1121.00074,1,3295765,3310624,+,14859
722,BUMA.1121.00067,1,2902444,2906830,+,4386
722,BUMA.1121.00064,1,1511030,1515416,-,4386
722,BUMA.1121.00074,1,2344822,2349208,+,4386
721,BUMA.1121.00067,1,2895148,2898377,+,3229
721,BUMA.1121.00064,1,1518149,1521372,-,3223
721,BUMA.1121.00074,1,2338867,2342089,+,3222
720,BUMA.1121.00091,2,3161405,3166721,+,5316
720,BUMA.1121.00053,2,753871,757853,-,3982
720,BUMA.1121.00078,2,2699118,2703099,+,3981
720,BUMA.1121.00099,2,724198,728180,-,3982
719,BUMA.1121.00007,1,2998888,3007432,+,8544
719,BUMA.1121.00103,1,3192752,3201474,+,8722
719,BUMA.1121.00055,1,796538,805065,-,8527
719,BUMA.1121.00098,1,3944822,3953165,-,8343
719,BUMA.1121.00083,1,370899,379232,+,8333
719,BUMA.1121.00041,1,2515026,2523589,-,8563
719,BUMA.1121.00082,1,1325594,1333927,-,8333
719,BUMA.1121.00011,1,372704,381047,+,8343
718,BUMA.1121.00007,1,573711,577890,+,4179
718,BUMA.1121.00103,1,881679,885855,+,4176
717,BUMA.1121.00007,1,564232,568331,+,4099
717,BUMA.1121.00031,1,818051,822149,-,4098
716,BUMA.1121.00058,1,1968088,1972893,+,4805
716,BUMA.1121.00112,1,375382,380055,+,4673
716,BUMA.1121.00014,1,195090,199767,+,4677
715,BUMA.1121.00058,1,1945185,1951123,+,5938
715,BUMA.1121.00112,1,356131,362059,+,5928
715,BUMA.1121.00014,1,175455,181386,+,5931
714,BUMA.1121.00058,1,1923394,1939149,+,15755
714,BUMA.1121.00014,1,94940,110696,+,15756
713,BUMA.1121.00058,1,1314799,1318944,+,4145
713,BUMA.1121.00059,1,2426280,2430426,-,4146
712,BUMA.1121.00058,1,1305935,1310529,+,4594
712,BUMA.1121.00059,1,2434696,2439290,-,4594
712,BUMA.1121.00005,1,1940601,1946603,+,6002
711,BUMA.1121.00058,1,1301058,1304551,+,3493
711,BUMA.1121.00059,1,2440673,2444166,-,3493
710,BUMA.1121.00093,2,2418377,2426154,+,7777
710,BUMA.1121.00092,2,518743,526520,-,7777
709,BUMA.1121.00093,2,2409772,2417208,+,7436
709,BUMA.1121.00092,2,527689,535125,-,7436
336,BUMA.1121.00027,1,937480,948446,+,10966
336,BUMA.1121.00025,1,4009991,4020911,-,10920
336,BUMA.1121.00021,1,3396128,3407015,+,10887
336,BUMA.1121.00023,1,1116470,1127421,+,10951
336,BUMA.1121.00024,1,2976210,2987000,-,10790
336,BUMA.1121.00033,1,985120,995989,+,10869
336,BUMA.1121.00034,1,3084818,3095608,-,10790
336,BUMA.1121.00036,1,1054393,1065183,+,10790
336,BUMA.1121.00009,1,2774039,2784824,-,10785
336,BUMA.1121.00008,1,3059023,3069813,-,10790
336,BUMA.1121.00003,1,1284645,1295527,+,10882
336,BUMA.1121.00109,1,3105897,3116814,-,10917
336,BUMA.1121.00053,1,2557298,2568161,+,10863
336,BUMA.1121.00110,1,2014059,2024815,-,10756
336,BUMA.1121.00104,1,2442992,2453778,-,10786
336,BUMA.1121.00086,1,1733818,1744602,-,10784
336,BUMA.1121.00092,1,974698,985612,-,10914
336,BUMA.1121.00096,1,472094,482977,-,10883
336,BUMA.1121.00054,1,21613,32436,-,10823
336,BUMA.1121.00097,1,1122320,1133157,-,10837
336,BUMA.1121.00093,1,3640379,3651279,+,10900
336,BUMA.1121.00106,1,2537501,2548387,+,10886
336,BUMA.1121.00035,1,3950352,3961263,+,10911
336,BUMA.1121.00108,1,3835036,3845965,+,10929
