block,genome,chr/contig,start,end,orientation,length
244,BUMA.1121.00042,2,120845,128674,+,7829
244,BUMA.1121.00026,2,127848,135677,-,7829
243,BUMA.1121.00042,1,1724491,1756949,+,32458
243,BUMA.1121.00026,1,3149741,3182167,+,32426
242,BUMA.1121.00087,2,2077448,2085775,+,8327
242,BUMA.1121.00086,2,1810285,1818612,+,8327
242,BUMA.1121.00034,2,434232,442560,-,8328
242,BUMA.1121.00017,2,434198,442526,-,8328
242,BUMA.1121.00042,2,517668,525981,-,8313
242,BUMA.1121.00036,2,2130282,2138610,-,8328
242,BUMA.1121.00013,2,2014162,2022489,+,8327
242,BUMA.1121.00028,2,434158,442486,-,8328
242,BUMA.1121.00004,2,434199,442527,-,8328
242,BUMA.1121.00008,2,434044,442372,-,8328
242,BUMA.1121.00022,2,1002390,1010717,+,8327
242,BUMA.1121.00024,2,434076,442404,-,8328
242,BUMA.1121.00032,2,858520,866848,-,8328
242,BUMA.1121.00019,2,434143,442471,-,8328
242,BUMA.1121.00044,2,485348,493676,-,8328
242,BUMA.1121.00030,2,1679241,1687568,+,8327
242,BUMA.1121.00020,2,434179,442507,-,8328
241,BUMA.1121.00087,2,1214998,1220452,+,5454
241,BUMA.1121.00086,2,947501,952955,+,5454
241,BUMA.1121.00034,2,630699,636153,+,5454
241,BUMA.1121.00017,2,630671,636125,+,5454
241,BUMA.1121.00002,2,1182064,1187518,+,5454
241,BUMA.1121.00042,2,984732,990174,-,5442
241,BUMA.1121.00036,2,199279,204733,+,5454
241,BUMA.1121.00028,2,656796,662250,+,5454
241,BUMA.1121.00010,2,2037907,2043361,+,5454
241,BUMA.1121.00004,2,721343,726797,+,5454
241,BUMA.1121.00008,2,720623,726077,+,5454
241,BUMA.1121.00022,2,140154,145608,+,5454
241,BUMA.1121.00026,2,1271686,1277140,+,5454
241,BUMA.1121.00024,2,656736,662191,+,5455
241,BUMA.1121.00024,2,750663,756115,+,5452
241,BUMA.1121.00032,2,1123322,1128776,+,5454
241,BUMA.1121.00019,2,721328,726782,+,5454
241,BUMA.1121.00044,2,681813,687267,+,5454
241,BUMA.1121.00030,2,1485633,1491088,-,5455
241,BUMA.1121.00020,2,721364,726818,+,5454
240,BUMA.1121.00081,2,1626858,1636010,+,9152
240,BUMA.1121.00006,2,687504,696656,-,9152
240,BUMA.1121.00087,2,2223010,2232162,+,9152
240,BUMA.1121.00040,2,653942,663102,-,9160
240,BUMA.1121.00086,2,722784,731936,-,9152
240,BUMA.1121.00054,2,487654,496805,-,9151
240,BUMA.1121.00034,2,1378014,1387153,+,9139
240,BUMA.1121.00048,2,40852,50004,+,9152
240,BUMA.1121.00017,2,1378007,1387146,+,9139
240,BUMA.1121.00038,2,687539,696691,-,9152
240,BUMA.1121.00042,2,1139959,1149148,+,9189
240,BUMA.1121.00036,2,931406,940558,+,9152
240,BUMA.1121.00013,2,1154070,1163204,-,9134
240,BUMA.1121.00028,2,1404176,1413314,+,9138
240,BUMA.1121.00004,2,1362865,1372003,+,9138
240,BUMA.1121.00008,2,1362189,1371327,+,9138
240,BUMA.1121.00022,2,2267602,2276754,-,9152
240,BUMA.1121.00026,2,1114031,1123198,-,9167
240,BUMA.1121.00024,2,1497966,1507105,+,9139
240,BUMA.1121.00019,2,1442085,1451224,+,9139
240,BUMA.1121.00044,2,1429115,1438253,+,9138
240,BUMA.1121.00030,2,734644,743782,-,9138
240,BUMA.1121.00020,2,1362950,1372089,+,9139
239,BUMA.1121.00050,2,2306771,2321567,+,14796
239,BUMA.1121.00081,2,1,14732,+,14731
239,BUMA.1121.00006,2,2308814,2323552,-,14738
239,BUMA.1121.00087,2,588465,603204,-,14739
239,BUMA.1121.00040,2,59302,74060,-,14758
239,BUMA.1121.00086,2,1,14733,+,14732
