genome,chr/contig,covered,size,coverage
BUMA.1121.00002,1,3273790,3531732,0.9269644469059374
BUMA.1121.00002,2,1930060,2093334,0.9220028910818818
BUMA.1121.00004,1,3347463,3623703,0.9237685869951262
BUMA.1121.00004,2,1941535,2105279,0.9222221852780558
BUMA.1121.00006,1,3248779,3510109,0.9255493205481653
BUMA.1121.00006,2,2143662,2325357,0.9218636106197887
BUMA.1121.00008,1,3277594,3558404,0.921085407952554
BUMA.1121.00008,2,1941655,2104778,0.9224987148288323
BUMA.1121.00010,1,3273053,3533325,0.9263379394762723
BUMA.1121.00010,2,1929414,2096906,0.9201242211143466
BUMA.1121.00013,1,3293596,3560434,0.9250546422149659
BUMA.1121.00013,2,1944045,2125970,0.9144272967163224
BUMA.1121.00015,1,3275464,3542936,0.9245055513280511
BUMA.1121.00015,2,2056158,2237503,0.9189520639748863
BUMA.1121.00017,1,3209099,3471484,0.9244170504602642
BUMA.1121.00017,2,1948674,2120565,0.9189409426261397
BUMA.1121.00019,1,3239553,3512356,0.9223304813065646
BUMA.1121.00019,2,2013637,2185904,0.9211918730191262
BUMA.1121.00020,1,3345731,3625848,0.9227444173059653
BUMA.1121.00020,2,1941811,2106749,0.9217097053327188
BUMA.1121.00022,1,3293411,3559858,0.9251523515825631
BUMA.1121.00022,2,2154582,2353260,0.9155732898192295
BUMA.1121.00024,1,3229311,3507358,0.9207246594160049
BUMA.1121.00024,2,2061439,2240464,0.920094676816945
BUMA.1121.00026,1,3284976,3550623,0.9251829890134774
BUMA.1121.00026,2,1704763,1858539,0.9172597400431199
BUMA.1121.00028,1,3295166,3578566,0.9208062670913433
BUMA.1121.00028,2,1973618,2146721,0.9193639974640393
BUMA.1121.00030,1,3209180,3471563,0.9244193465594603
BUMA.1121.00030,2,1948554,2120306,0.9189965976609037
BUMA.1121.00032,1,3247176,3506640,0.9260078023407022
BUMA.1121.00032,2,1582825,1726745,0.9166524298608075
BUMA.1121.00034,1,3299132,3573819,0.9231390845479304
BUMA.1121.00034,2,1948673,2120572,0.9189374376347513
BUMA.1121.00036,1,3200867,3458247,0.9255750095351778
BUMA.1121.00036,2,2093442,2284094,0.9165305806153337
BUMA.1121.00038,1,3248702,3510032,0.9255476873145316
BUMA.1121.00038,2,2050020,2226558,0.9207125976507237
BUMA.1121.00040,1,3286272,3553890,0.9246971628272119
BUMA.1121.00040,2,2039558,2226175,0.9161714600154974
BUMA.1121.00042,1,3239119,3501019,0.925193208034575
BUMA.1121.00042,2,1962707,2146721,0.9142813621332255
BUMA.1121.00044,1,3251800,3517959,0.9243427794354624
BUMA.1121.00044,2,1948354,2120272,0.9189170068745897
BUMA.1121.00046,1,3249391,3509051,0.9260027853684657
BUMA.1121.00046,2,1996841,2152800,0.9275552768487552
BUMA.1121.00048,1,3249022,3510187,0.9255979809622679
BUMA.1121.00048,2,2143958,2325354,0.9219920923867936
BUMA.1121.00050,1,3283698,3553363,0.9241099206582609
BUMA.1121.00050,2,2139037,2321567,0.9213763806945912
BUMA.1121.00052,1,3230709,3497571,0.923700762614969
BUMA.1121.00052,2,1594195,1734864,0.9189164107388245
BUMA.1121.00054,1,3272371,3539287,0.9245848104434594
BUMA.1121.00054,2,2143636,2325322,0.9218663049676561
BUMA.1121.00081,1,3248816,3510148,0.925549577966513
BUMA.1121.00081,2,2143870,2325365,0.921949887437026
BUMA.1121.00085,1,3231338,3497450,0.92391256486869
BUMA.1121.00085,2,1594236,1734922,0.9189093227245951
BUMA.1121.00086,1,3225683,3495687,0.9227608192609922
BUMA.1121.00086,2,2155203,2352680,0.9160629579883367
BUMA.1121.00087,1,3215420,3476186,0.924985026693048
BUMA.1121.00087,2,2153696,2351417,0.9159141062601827
