genome,core,chr/contig,type,covered,"chr,core"
BUMA.1121.00002,all,1,block,14.450869998063274,"1,all"
BUMA.1121.00002,all,1,"block, gene",78.24557469253047,"1,all"
BUMA.1121.00002,all,1,gene,5.780506561653036,"1,all"
BUMA.1121.00002,all,2,block,16.29181009814965,"2,all"
BUMA.1121.00002,all,2,"block, gene",75.90847901003853,"2,all"
BUMA.1121.00002,all,2,gene,6.177609497576593,"2,all"
BUMA.1121.00004,all,1,gene,6.21541003774316,"1,all"
BUMA.1121.00004,all,1,"block, gene",78.02408199568231,"1,all"
BUMA.1121.00004,all,1,block,14.352776703830308,"1,all"
BUMA.1121.00004,all,2,gene,6.081094239765846,"2,all"
BUMA.1121.00004,all,2,block,16.531538100175798,"2,all"
BUMA.1121.00004,all,2,"block, gene",75.69068042762979,"2,all"
BUMA.1121.00006,all,1,gene,6.098357629349971,"1,all"
BUMA.1121.00006,all,1,"block, gene",78.130451219606,"1,all"
BUMA.1121.00006,all,1,block,14.42448083521053,"1,all"
BUMA.1121.00006,all,2,gene,6.110029556751931,"2,all"
BUMA.1121.00006,all,2,block,16.125308931058758,"2,all"
BUMA.1121.00006,all,2,"block, gene",76.06105213092012,"2,all"
BUMA.1121.00008,all,1,gene,6.41267826812245,"1,all"
BUMA.1121.00008,all,1,"block, gene",77.84113327210738,"1,all"
BUMA.1121.00008,all,1,block,14.267407523148018,"1,all"
BUMA.1121.00008,all,2,gene,6.067148174296767,"2,all"
BUMA.1121.00008,all,2,block,16.433514603440365,"2,all"
BUMA.1121.00008,all,2,"block, gene",75.81635687944286,"2,all"
BUMA.1121.00010,all,1,block,14.37875089328041,"1,all"
BUMA.1121.00010,all,1,"block, gene",78.25504305434683,"1,all"
BUMA.1121.00010,all,1,gene,5.770598515562537,"1,all"
BUMA.1121.00010,all,2,gene,6.349879298356721,"2,all"
BUMA.1121.00010,all,2,"block, gene",75.78017326480062,"2,all"
BUMA.1121.00010,all,2,block,16.23224884663404,"2,all"
BUMA.1121.00013,all,1,block,14.332971766925043,"1,all"
BUMA.1121.00013,all,1,"block, gene",78.17249245457155,"1,all"
BUMA.1121.00013,all,1,gene,6.097009521872895,"1,all"
BUMA.1121.00013,all,2,gene,6.702916786219937,"2,all"
BUMA.1121.00013,all,2,block,15.90850294218639,"2,all"
BUMA.1121.00013,all,2,"block, gene",75.53422672944585,"2,all"
BUMA.1121.00015,all,1,block,14.373276852870049,"1,all"
BUMA.1121.00015,all,1,"block, gene",78.07727827993506,"1,all"
BUMA.1121.00015,all,1,gene,6.176854450659001,"1,all"
BUMA.1121.00015,all,2,block,15.839308371877042,"2,all"
BUMA.1121.00015,all,2,"block, gene",76.05589802561158,"2,all"
BUMA.1121.00015,all,2,gene,6.306985957113801,"2,all"
BUMA.1121.00017,all,1,gene,6.123951601102007,"1,all"
BUMA.1121.00017,all,1,"block, gene",78.15654630699724,"1,all"
BUMA.1121.00017,all,1,block,14.285158739029189,"1,all"
BUMA.1121.00017,all,2,gene,6.329492375852662,"2,all"
BUMA.1121.00017,all,2,block,15.884775991304204,"2,all"
BUMA.1121.00017,all,2,"block, gene",76.00931827130977,"2,all"
BUMA.1121.00019,all,1,gene,6.322650665251473,"1,all"
BUMA.1121.00019,all,1,"block, gene",78.02987510377649,"1,all"
BUMA.1121.00019,all,1,block,14.203173026879965,"1,all"
