strain,character_state,character_state_annotation
BUMA.1121.00046,0,adjacency exists
BUMA.1121.00010,3,inversion between 51h-53t and 61t-60h
BUMA.1121.00050,0,adjacency exists
BUMA.1121.00006,4,inversion between 51h-53t and 36h-37t
BUMA.1121.00044,0,adjacency exists
BUMA.1121.00034,0,adjacency exists
BUMA.1121.00042,0,adjacency exists
BUMA.1121.00019,0,adjacency exists
BUMA.1121.00015,5,inversion between 51h-53t and 29h-26h
BUMA.1121.00052,0,adjacency exists
BUMA.1121.00004,0,adjacency exists
BUMA.1121.00020,0,adjacency exists
BUMA.1121.00002,3,inversion between 51h-53t and 61t-60h
BUMA.1121.00085,0,adjacency exists
BUMA.1121.00030,0,adjacency exists
BUMA.1121.00081,4,inversion between 51h-53t and 36h-37t
BUMA.1121.00036,0,adjacency exists
BUMA.1121.00040,0,adjacency exists
BUMA.1121.00026,0,adjacency exists
BUMA.1121.00032,0,adjacency exists
BUMA.1121.00086,6,inversion between 51h-53t and 36t-33h
BUMA.1121.00017,0,adjacency exists
BUMA.1121.00013,7,inversion between 51h-53t and 56h-57t
BUMA.1121.00038,4,inversion between 51h-53t and 36h-37t
BUMA.1121.00022,0,adjacency exists
BUMA.1121.00087,6,inversion between 51h-53t and 36t-33h
BUMA.1121.00024,0,adjacency exists
BUMA.1121.00008,0,adjacency exists
BUMA.1121.00054,4,inversion between 51h-53t and 36h-37t
BUMA.1121.00048,4,inversion between 51h-53t and 36h-37t
BUMA.1121.00028,0,adjacency exists
