block,chroms,mean_length,std_length,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,tree_consistent
560,1,4938.294117647059,518.2707405918583,0.4161161393,2,23,False
559,1,10948.970588235294,131.86880407393278,0.4161161393,2,23,False
558,1,3082.3823529411766,3.7101982338220227,0.4161161393,2,23,False
585,1,3801.4117647058824,0.49215295678475035,0.3075842771999999,1,13,False
232,2,8234.896551724138,347.335408287405,0.2904106790999999,2,20,False
578,1,10501.08695652174,1.5579541623625146,0.24144781480000005,2,15,False
105,2,3050.8823529411766,3.739807370647607,0.2403795851999999,2,14,False
556,1,3136.3,2.758622844826745,0.200857166,2,13,False
139,2,5658.8125,384.4650318001409,0.19781755409999996,2,16,False
249,2,3898.5588235294117,3.3623449141632253,0.190914927,2,13,False
250,2,5541.64705882353,2.070554812564475,0.190914927,2,13,False
575,1,4803.076923076923,9.22756354592494,0.18755988869999998,1,10,False
242,2,6622.71875,0.6724198372296879,0.17303700160000005,2,13,False
100,2,4570.333333333333,2.326520666724973,0.16894450560000004,2,14,False
601,1,5393.75,3.418698582794336,0.14010063879999995,2,14,False
632,1,3108.6923076923076,330.9107210796347,0.13327516599999997,2,11,False
622,1,4303.0,355.78951898303836,0.13221544760000004,1,9,False
244,2,11577.545454545454,232.21803898675483,0.1299518492,2,13,False
240,2,4308.757575757576,228.97691167227217,0.1299518492,2,13,False
239,2,8029.909090909091,228.77849067633795,0.1299518492,2,13,False
243,2,6426.606060606061,4.471725271684052,0.1299518492,2,13,False
241,2,3295.6969696969695,2.552299598696432,0.1299518492,2,13,False
582,2,3546.7272727272725,15.07008420734698,0.12545706500000003,1,9,False
581,2,6880.181818181818,8.809273851182285,0.12545706500000003,1,9,False
626,1,4332.222222222223,0.7856742013183862,0.1160505072,1,8,False
286,1,13369.865384615385,129.32458104828177,0.11172909999999998,1,8,False
231,2,4654.166666666667,1.674979270186815,0.11131265999999998,1,8,False
144,2,8459.984375,7.515592515522313,0.10215582500000002,2,12,False
583,1;2,3123.4761904761904,0.9571310115353227,0.10153777459999998,2,11,False
602,2,4133.857142857143,0.832993127835043,0.09053573999999999,1,7,False
719,1,8463.5,137.08391590555036,0.081198568,1,7,False
98,2,3546.5079365079364,1.1250822315345617,0.07787162500000001,2,11,False
495,1,8631.636363636364,2.49627822140836,0.07733163800000002,1,7,False
615,1,3572.3333333333335,1.8856180831641267,0.076662708,1,7,False
233,2,51075.75,8.757139944068497,0.06128517199999999,1,7,False
234,2,6630.583333333333,0.8620067027323834,0.06128517199999999,1,7,False
283,1,3083.45,7.940245588141465,0.05684960299999999,1,6,False
282,1,5050.15,6.4000651038355345,0.05684960299999999,1,6,False
614,1,3549.714285714286,9.735271449943326,0.050887540999999994,1,6,False
159,2,3326.225490196078,12.15335575601475,0.04714756689999999,1,6,False
738,2,8791.57142857143,3.499271061118826,0.046501034799999987,1,5,False
633,1,7202.88,252.1287480633654,0.04639455099999999,2,9,False
740,1;2,3248.0,9.9498743710662,0.0405089412,1,5,False
599,1,15155.5,7.973915809270458,0.03808676999999999,2,7,False
618,1;2,4103.272727272727,1.212878551284212,0.037779092,1,5,False
631,1,10927.714285714286,10.673254768201627,0.036853736,1,5,False
361,1,4274.1067961165045,130.89638032045525,0.036456804,1,5,False
362,1,5725.192307692308,3.0416244491950057,0.036456804,1,5,False
566,1,4338.545454545455,136.1552346914517,0.036269084699999996,2,7,False
160,2,3432.4285714285716,47.5031542096306,0.036217778799999996,1,5,False
163,2,19364.64761904762,397.73484780818205,0.0347616068,1,5,False
164,2,35690.723809523806,137.29811119556044,0.0347616068,1,5,False
165,2,5466.352380952381,12.48311694316688,0.0347616068,1,5,False
